"","Gender","Age","Educational_Attainment","Industry","Country","Year","Employment_Rate","Population","Industry_name","Country_Name","Educational_Attainment_FullForm","Gender_Pay_Gap","Educational_Field","Educational_Level","sex","Number_of_Student"
"268","Female","Y30-54","ED0-2","J","FR",2017,51.7,26.2,"Information and communication","France","Less than primary, primary and lower secondary education (levels 0-2)",11.1,"Management and administration","Master","M",30158
"294","Male","Y20-24","ED3_4GEN","B-N","DK",2016,60,9.3,"Business economy","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",9.1,"Biological science","Doctor","F",0
"309","Female","Y30-54","ED5-8","K","DE",2015,86.9,29.3,"Financial and insurance activities","Germany","Tertiary education (levels 5-8)",6.4,"Management and administration","Master","M",4662
"318","Male","Y20-24","ED3_4GEN","B-N","PL",2018,42.2,24.3,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",15.4,"
Mathematics","Bachelor","F",3865
"322","Female","Y20-29","ED5-8","I","NL",2017,85.3,38.3,"Accommodation and food service activities","Netherlands","Tertiary education (levels 5-8)",19.6,"Software development","Bachelor","M",20248
"323","Male","Y15-64","ED0-2","O","DK",2019,58.6,17.6,"Public administration and defence; compulsory social security","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",14.3,"
Information Technologies","Bachelor","M",5839
"328","Female","Y15-64","ED0-2","B","IT",2020,28.9,36.7,"Mining and quarrying","Italy","Less than primary, primary and lower secondary education (levels 0-2)",14.8,"Software development","Master","F",0
"353","Male","Y20-24","ED5-8","B-N","FR",2020,56,13.7,"Business economy","France","Tertiary education (levels 5-8)",9.7,"
Information Technologies","Master","F",8105
"358","Male","Y55-64","ED0-2","B-N","FR",2018,43.4,15.1,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",3,"Engineering and construction","Doctor","M",4852
"361","Female","Y15-64","ED0-2","B","AT",2016,43.8,22.1,"Mining and quarrying","Austria","Less than primary, primary and lower secondary education (levels 0-2)",20.8,"Management and administration","Doctor","M",28
"371","Male","Y20-24","ED5-8","B-N","DK",2014,70,17.7,"Business economy","Denmark","Tertiary education (levels 5-8)",22.3,"Engineering and construction","Master","F",2665
"376","Female","Y20-24","ED0-2","C","DK",2021,46.4,19.1,"Manufacturing","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",9.8,"Biological science","Master","F",2347
"380","Male","Y20-29","ED0-2","B-N","FR",2020,54,40.3,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",13.3,"
Mathematics","Bachelor","F",0
"412","Male","Y15-64","ED5-8","Q","IE",2015,86.4,17.9,"Human health and social work activities","Ireland","Tertiary education (levels 5-8)",22.8,"Engineering and construction","Bachelor","F",2439
"414","Female","Y15-64","ED5-8","C","NL",2017,85.4,30.7,"Manufacturing","Netherlands","Tertiary education (levels 5-8)",19.7,"
Information Technologies","Master","F",681
"420","Male","Y20-29","ED3_4GEN","B-N","FR",2015,43.3,20.6,"Business economy","France","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",14.9,"Engineering and construction","Master","F",46157
"434","Male","Y20-29","ED0-2","B-N","FR",2015,51.4,53.6,"Business economy","France","Less than primary, primary and lower secondary education (levels 0-2)",2.5,"
Mathematics","Master","F",0
"436","Female","Y20-24","ED0-2","C","EL",2018,13.7,7.6,"Manufacturing","Greece","Less than primary, primary and lower secondary education (levels 0-2)",4.7,"
Information Technologies","Master","F",961
"454","Female","Y30-54","ED5-8","K","FR",2021,88.4,34.3,"Financial and insurance activities","France","Tertiary education (levels 5-8)",-1.9,"
Mathematics","Bachelor","M",0
"460","Male","Y15-64","ED5-8","Q","FR",2019,85.5,46.5,"Human health and social work activities","France","Tertiary education (levels 5-8)",5.7,"Engineering and construction","Doctor","F",3257
"489","Female","Y15-64","ED5-8","C","UK",2017,81.6,39.2,"Manufacturing","United Kingdom","Tertiary education (levels 5-8)",12.2,"
Mathematics","Doctor","M",1706
"518","Female","Y15-64","ED0-2","B-N","PL",2018,16.9,12.8,"Business economy","Poland","Less than primary, primary and lower secondary education (levels 0-2)",5.2,"Management and administration","Doctor","F",661
"538","Male","Y20-29","ED3_4GEN","B-N","PL",2016,55.8,5.8,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",20.3,"
Information Technologies","Doctor","M",767
"562","Female","Y20-24","ED5-8","E","DK",2018,72.2,8.8,"Water supply; sewerage, waste management and remediation activities","Denmark","Tertiary education (levels 5-8)",14.4,"
Mathematics","Bachelor","F",466
"582","Male","Y20-29","ED5-8","B-N","NL",2015,83.7,6.5,"Business economy","Netherlands","Tertiary education (levels 5-8)",25.8,"Management and administration","Bachelor","F",36716
"590","Male","Y55-64","ED5-8","B-N","PL",2021,84.2,34.1,"Business economy","Poland","Tertiary education (levels 5-8)",-10.5,"Management and administration","Doctor","F",426
"610","Female","Y55-64","ED0-2","L","DE",2016,46.6,5.2,"Real estate activities","Germany","Less than primary, primary and lower secondary education (levels 0-2)",7.9,"Management and administration","Bachelor","M",24249
"612","Male","Y55-64","ED0-2","B-N","FI",2017,49.5,45.4,"Business economy","Finland","Less than primary, primary and lower secondary education (levels 0-2)",8.1,"Software development","Doctor","M",0
"615","Male","Y20-24","ED3_4GEN","B-N","IE",2018,60.7,41.5,"Business economy","Ireland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",10.8,"Management and administration","Master","M",1765
"616","Male","Y20-29","ED5-8","B-N","AT",2019,76.9,6.1,"Business economy","Austria","Tertiary education (levels 5-8)",13.6,"
Mathematics","Bachelor","M",1483
"617","Male","Y20-29","ED3_4GEN","B-N","FI",2021,58,20.2,"Business economy","Finland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",3.2,"Engineering and construction","Master","M",8117
"623","Male","Y20-24","ED0-2","R","DE",2017,60.1,11.1,"Arts, entertainment and recreation","Germany","Less than primary, primary and lower secondary education (levels 0-2)",4.2,"Software development","Master","F",4630
"636","Male","Y15-64","ED5-8","P","AT",2018,87.4,17,"Education","Austria","Tertiary education (levels 5-8)",23.6,"Biological science","Doctor","M",354
"669","Female","Y20-29","ED0-2","G","IE",2018,27.1,11.5,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Ireland","Less than primary, primary and lower secondary education (levels 0-2)",10.2,"
Information Technologies","Doctor","M",273
"677","Male","Y15-64","ED5-8","Q","IT",2014,81,32.9,"Human health and social work activities","Italy","Tertiary education (levels 5-8)",61.3,"
Information Technologies","Doctor","F",116
"694","Female","Y55-64","ED5-8","M","AT",2015,61.6,16.5,"Professional, scientific and technical activities","Austria","Tertiary education (levels 5-8)",23.3,"
Mathematics","Doctor","F",101
"701","Male","Y20-29","ED0-2","B-N","AT",2017,55,15.8,"Business economy","Austria","Less than primary, primary and lower secondary education (levels 0-2)",22.3,"Management and administration","Doctor","F",29
"706","Male","Y15-64","ED5-8","Q","PL",2016,90.5,33.3,"Human health and social work activities","Poland","Tertiary education (levels 5-8)",30.4,"Biological science","Bachelor","F",8714
"743","Female","Y15-64","ED5-8","C","PL",2021,87.2,33.6,"Manufacturing","Poland","Tertiary education (levels 5-8)",21.6,"Engineering and construction","Doctor","F",1944
"744","Male","Y30-54","ED5-8","B-N","FI",2017,92.2,35,"Business economy","Finland","Tertiary education (levels 5-8)",30.9,"Engineering and construction","Bachelor","M",34793
"751","Female","Y55-64","ED0-2","L","AT",2020,33.3,28.5,"Real estate activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",20.1,"Management and administration","Master","M",7592
"764","Female","Y15-64","ED0-2","B","PL",2015,16.8,14.6,"Mining and quarrying","Poland","Less than primary, primary and lower secondary education (levels 0-2)",15.7,"Biological science","Bachelor","M",1501
"812","Female","Y20-24","ED5-8","F","UK",2016,78.3,28.2,"Construction","United Kingdom","Tertiary education (levels 5-8)",24.3,"
Information Technologies","Doctor","M",3600
"836","Female","Y55-64","ED5-8","N","IT",2020,76.6,59,"Administrative and support service activities","Italy","Tertiary education (levels 5-8)",21.4,"Software development","Doctor","F",0
"881","Male","Y30-54","ED0-2","B-N","UK",2017,78.5,9.4,"Business economy","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",38.8,"Engineering and construction","Doctor","M",11696
"895","Female","Y20-29","ED5-8","I","NL",2021,88.9,43.9,"Accommodation and food service activities","Netherlands","Tertiary education (levels 5-8)",15.7,"Engineering and construction","Master","F",4673
"907","Female","Y55-64","ED5-8","N","FI",2016,72.7,36.4,"Administrative and support service activities","Finland","Tertiary education (levels 5-8)",32,"Engineering and construction","Bachelor","F",7263
"908","Female","Y20-29","ED5-8","I","PL",2021,80.1,47.3,"Accommodation and food service activities","Poland","Tertiary education (levels 5-8)",29,"Biological science","Bachelor","F",6113
"919","Male","Y20-24","ED3_4GEN","B-N","DK",2021,65.2,4.4,"Business economy","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",13,"Software development","Doctor","M",0
"943","Female","Y15-64","ED0-2","B","IT",2015,29,39.8,"Mining and quarrying","Italy","Less than primary, primary and lower secondary education (levels 0-2)",29.1,"Engineering and construction","Master","F",36453
"949","Female","Y55-64","ED0-2","L","AT",2019,31.9,31,"Real estate activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",8,"Biological science","Doctor","F",455
"959","Female","Y15-64","ED0-2","B","AT",2017,43.4,21.4,"Mining and quarrying","Austria","Less than primary, primary and lower secondary education (levels 0-2)",12.4,"Engineering and construction","Bachelor","M",24087
"972","Male","Y20-29","ED3_4GEN","B-N","NL",2021,72.5,6.6,"Business economy","Netherlands","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",19.4,"
Information Technologies","Master","M",3593
"977","Male","Y20-29","ED0-2","B-N","DE",2018,64.8,16.2,"Business economy","Germany","Less than primary, primary and lower secondary education (levels 0-2)",23.3,"Software development","Master","M",23441
"979","Female","Y20-29","ED3_4GEN","H","FR",2020,36.1,11.8,"Transportation and storage","France","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",22.7,"Biological science","Doctor","F",3978
"1002","Male","Y30-54","ED5-8","B-N","FR",2015,91.8,43.1,"Business economy","France","Tertiary education (levels 5-8)",12.8,"Engineering and construction","Bachelor","M",31784
"1011","Female","Y15-64","ED0-2","B","FR",2020,32.9,21.7,"Mining and quarrying","France","Less than primary, primary and lower secondary education (levels 0-2)",30.7,"Software development","Doctor","M",0
"1012","Male","Y55-64","ED0-2","B-N","DE",2015,54.6,17.2,"Business economy","Germany","Less than primary, primary and lower secondary education (levels 0-2)",27.8,"
Mathematics","Bachelor","M",19725
"1014","Female","Y20-29","ED3_4GEN","H","DE",2017,51.4,4.8,"Transportation and storage","Germany","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",30.3,"
Mathematics","Bachelor","M",20673
"1024","Male","Y20-29","ED3_4GEN","B-N","DK",2015,63.3,18.8,"Business economy","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",3.8,"Software development","Master","M",0
"1044","Male","Y55-64","ED0-2","B-N","UK",2016,59.9,6.4,"Business economy","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",13.3,"Software development","Master","F",0
"1049","Male","Y30-54","ED0-2","B-N","DK",2017,74.2,7.7,"Business economy","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",9.8,"
Information Technologies","Master","F",1598
"1091","Female","Y20-29","ED5-8","I","FI",2018,82.1,48.2,"Accommodation and food service activities","Finland","Tertiary education (levels 5-8)",17.6,"Engineering and construction","Doctor","F",1089
"1094","Male","Y15-64","ED0-2","P","UK",2018,68.4,86.6,"Education","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",23.6,"Biological science","Doctor","F",9219
"1127","Female","Y20-29","ED3_4GEN","H","NL",2018,65.6,24.5,"Transportation and storage","Netherlands","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",24.7,"Software development","Master","M",1576
"1143","Female","Y15-64","ED5-8","B-N","DE",2018,84.7,22.1,"Business economy","Germany","Tertiary education (levels 5-8)",24.2,"Software development","Doctor","M",0
"1146","Female","Y15-64","ED0-2","B-N","PL",2019,16.4,12.5,"Business economy","Poland","Less than primary, primary and lower secondary education (levels 0-2)",7.5,"Management and administration","Master","F",36238
"1153","Female","Y20-29","ED0-2","G","PL",2017,20.5,4.7,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Poland","Less than primary, primary and lower secondary education (levels 0-2)",12,"Management and administration","Doctor","F",785
"1170","Female","Y20-24","ED5-8","E","DK",2016,71.9,7.2,"Water supply; sewerage, waste management and remediation activities","Denmark","Tertiary education (levels 5-8)",17.3,"
Mathematics","Doctor","M",0
"1209","Female","Y20-24","ED0-2","D","UK",2017,50.3,13.1,"Electricity, gas, steam and air conditioning supply","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",5.6,"Management and administration","Doctor","M",1223
"1235","Female","Y30-54","ED0-2","J","DK",2017,53.7,19.6,"Information and communication","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",17.3,"Software development","Bachelor","F",0
"1239","Female","Y15-64","ED3_4GEN","B-N","NL",2021,71.9,23.4,"Business economy","Netherlands","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",15.7,"Biological science","Master","M",3241
"1245","Female","Y20-29","ED0-2","G","UK",2018,50.6,14.8,"Wholesale and retail trade; repair of motor vehicles and motorcycles","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",21.9,"
Information Technologies","Doctor","M",3557
"1267","Female","Y30-54","ED0-2","J","DE",2013,57.1,5.4,"Information and communication","Germany","Less than primary, primary and lower secondary education (levels 0-2)",24.2,"
Information Technologies","Bachelor","F",22204
"1269","Female","Y55-64","ED0-2","M","IE",2013,28.4,17.6,"Professional, scientific and technical activities","Ireland","Less than primary, primary and lower secondary education (levels 0-2)",21.2,"
Information Technologies","Bachelor","M",6225
"1306","Female","Y15-64","ED0-2","B","NL",2019,53.6,25.1,"Mining and quarrying","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",19.5,"
Mathematics","Master","F",311
"1332","Female","Y30-54","ED0-2","J","FR",2015,55.1,7.4,"Information and communication","France","Less than primary, primary and lower secondary education (levels 0-2)",16.6,"
Information Technologies","Doctor","M",2122
"1368","Male","Y20-29","ED5-8","B-N","DE",2015,84.3,8,"Business economy","Germany","Tertiary education (levels 5-8)",1.4,"Biological science","Master","F",17808
"1371","Female","Y15-64","ED0-2","B","IT",2020,28.9,36.7,"Mining and quarrying","Italy","Less than primary, primary and lower secondary education (levels 0-2)",26.2,"Management and administration","Bachelor","M",76928
"1401","Male","Y20-24","ED3_4GEN","B-N","IT",2017,14.2,37.7,"Business economy","Italy","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",15.6,"Software development","Bachelor","F",0
"1416","Male","Y20-29","ED0-2","B-N","IE",2013,42.3,15,"Business economy","Ireland","Less than primary, primary and lower secondary education (levels 0-2)",12.6,"
Information Technologies","Bachelor","F",2145
"1421","Female","Y20-24","ED0-2","D","NL",2017,54.2,15.8,"Electricity, gas, steam and air conditioning supply","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",15.2,"
Mathematics","Master","M",663
"1430","Male","Y20-24","ED5-8","B-N","UK",2016,77.6,2.5,"Business economy","United Kingdom","Tertiary education (levels 5-8)",20.4,"
Mathematics","Doctor","M",1722
"1440","Male","Y15-64","ED0-2","O","EL",2014,48.9,8.3,"Public administration and defence; compulsory social security","Greece","Less than primary, primary and lower secondary education (levels 0-2)",8.4,"
Information Technologies","Bachelor","M",19758
"1458","Male","Y20-29","ED0-2","B-N","IT",2020,50,8.6,"Business economy","Italy","Less than primary, primary and lower secondary education (levels 0-2)",13.8,"
Information Technologies","Doctor","M",498
"1474","Male","Y15-64","ED0-2","O","IT",2020,55.6,25.8,"Public administration and defence; compulsory social security","Italy","Less than primary, primary and lower secondary education (levels 0-2)",16.4,"Management and administration","Bachelor","F",59211
"1482","Male","Y20-24","ED3_4GEN","B-N","NL",2016,61.2,23.5,"Business economy","Netherlands","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",19.2,"
Mathematics","Master","M",611
"1484","Female","Y55-64","ED0-2","L","DE",2015,43.8,5.4,"Real estate activities","Germany","Less than primary, primary and lower secondary education (levels 0-2)",22.6,"Engineering and construction","Bachelor","F",86969
"1513","Male","Y15-64","ED0-2","O","FR",2020,44.7,10.9,"Public administration and defence; compulsory social security","France","Less than primary, primary and lower secondary education (levels 0-2)",-9.1,"Software development","Doctor","F",0
"1518","Female","Y20-29","ED5-8","H","DK",2015,76,38.8,"Transportation and storage","Denmark","Tertiary education (levels 5-8)",7.9,"
Information Technologies","Bachelor","F",866
"1524","Female","Y30-54","ED5-8","K","DK",2013,89.8,28.7,"Financial and insurance activities","Denmark","Tertiary education (levels 5-8)",21.4,"Engineering and construction","Doctor","F",677
"1528","Female","Y15-64","ED5-8","B-N","AT",2016,81.8,26.7,"Business economy","Austria","Tertiary education (levels 5-8)",5.9,"Management and administration","Bachelor","M",2827
"1548","Female","Y15-64","ED5-8","C","UK",2017,81.6,39.2,"Manufacturing","United Kingdom","Tertiary education (levels 5-8)",26.2,"
Information Technologies","Doctor","M",3548
"1556","Female","Y20-29","ED0-2","F","DE",2017,47.1,13.4,"Construction","Germany","Less than primary, primary and lower secondary education (levels 0-2)",24.1,"
Information Technologies","Doctor","F",1400
"1563","Female","Y30-54","ED0-2","J","FI",2015,50.2,25.9,"Information and communication","Finland","Less than primary, primary and lower secondary education (levels 0-2)",32.6,"
Mathematics","Master","F",159
"1567","Male","Y30-54","ED5-8","B-N","DE",2013,95.8,50.5,"Business economy","Germany","Tertiary education (levels 5-8)",13.8,"Engineering and construction","Master","F",29578
"1589","Male","Y30-54","ED0-2","B-N","PL",2015,62.1,12.7,"Business economy","Poland","Less than primary, primary and lower secondary education (levels 0-2)",33.6,"
Information Technologies","Bachelor","F",8354
"1595","Male","Y20-24","ED3_4GEN","B-N","EL",2018,20.9,28.1,"Business economy","Greece","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",22,"Software development","Doctor","F",119
"1596","Female","Y20-29","ED0-2","G","DK",2020,40,16.2,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",8.6,"Software development","Doctor","F",0
"1599","Female","Y20-29","ED0-2","G","FR",2020,31.5,12.5,"Wholesale and retail trade; repair of motor vehicles and motorcycles","France","Less than primary, primary and lower secondary education (levels 0-2)",14.7,"Biological science","Doctor","F",3978
"1609","Female","Y20-24","ED3_4GEN","E","FI",2016,56.4,46.3,"Water supply; sewerage, waste management and remediation activities","Finland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",32,"
Information Technologies","Doctor","M",1184
"1652","Male","Y20-29","ED5-8","B-N","DE",2021,85.4,9.9,"Business economy","Germany","Tertiary education (levels 5-8)",23.4,"Management and administration","Doctor","F",1220
"1707","Male","Y20-29","ED3_4GEN","B-N","DK",2014,62,18.4,"Business economy","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",11,"
Information Technologies","Master","F",1219
"1728","Female","Y20-24","ED5-8","E","FI",2019,74,7.7,"Water supply; sewerage, waste management and remediation activities","Finland","Tertiary education (levels 5-8)",11.8,"Management and administration","Doctor","F",0
"1744","Male","Y55-64","ED5-8","B-N","AT",2016,73.1,13.9,"Business economy","Austria","Tertiary education (levels 5-8)",27.1,"
Mathematics","Doctor","F",96
"1809","Male","Y30-54","ED3_4GEN","B-N","AT",2021,81.8,9.3,"Business economy","Austria","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",27.2,"Management and administration","Doctor","F",168
"1812","Male","Y20-29","ED3_4GEN","B-N","FR",2021,43.1,4.5,"Business economy","France","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",16.4,"Software development","Master","M",76
"1869","Male","Y20-24","ED3_4GEN","B-N","PL",2021,38.6,26.1,"Business economy","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",16.5,"Biological science","Bachelor","M",2042
"1883","Female","Y55-64","ED0-2","L","AT",2015,28.2,50.5,"Real estate activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",30.3,"
Mathematics","Bachelor","F",720
"1888","Male","Y30-54","ED5-8","B-N","NL",2019,95.2,19.7,"Business economy","Netherlands","Tertiary education (levels 5-8)",8.9,"Software development","Bachelor","M",23768
"1901","Male","Y20-29","ED5-8","B-N","FR",2014,72.6,8,"Business economy","France","Tertiary education (levels 5-8)",23.2,"
Information Technologies","Doctor","M",2081
"1902","Male","Y15-64","ED5-8","Q","FR",2019,85.5,46.5,"Human health and social work activities","France","Tertiary education (levels 5-8)",2.1,"
Information Technologies","Bachelor","F",4672
"1904","Male","Y20-29","ED5-8","B-N","FR",2018,76.6,5.9,"Business economy","France","Tertiary education (levels 5-8)",10.8,"Management and administration","Bachelor","M",24350
"1905","Male","Y15-64","ED0-2","P","NL",2017,66.3,73,"Education","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",23.1,"Software development","Bachelor","F",1648
"1910","Male","Y20-29","ED0-2","B-N","DE",2015,64.4,19.2,"Business economy","Germany","Less than primary, primary and lower secondary education (levels 0-2)",27.8,"
Information Technologies","Doctor","F",1300
"1934","Female","Y20-29","ED0-2","F","AT",2014,53.3,14.2,"Construction","Austria","Less than primary, primary and lower secondary education (levels 0-2)",23.8,"
Information Technologies","Master","F",659
"1937","Female","Y55-64","ED0-2","M","NL",2019,45.3,33.6,"Professional, scientific and technical activities","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",19.5,"Software development","Bachelor","F",2366
"1945","Male","Y15-64","ED5-8","Q","NL",2016,90.1,8.7,"Human health and social work activities","Netherlands","Tertiary education (levels 5-8)",10.4,"
Mathematics","Master","M",611
"1948","Female","Y20-24","ED3_4GEN","D","DK",2020,69.2,60.8,"Electricity, gas, steam and air conditioning supply","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",9.8,"
Information Technologies","Doctor","F",0
"1964","Female","Y15-64","ED3_4GEN","B-N","FR",2021,55,14.2,"Business economy","France","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",10.8,"
Information Technologies","Doctor","F",725
"1982","Female","Y20-24","ED5-8","E","AT",2021,67.1,35.6,"Water supply; sewerage, waste management and remediation activities","Austria","Tertiary education (levels 5-8)",27.2,"Management and administration","Doctor","F",168
"1998","Male","Y20-29","ED0-2","B-N","UK",2013,63,32.6,"Business economy","United Kingdom","Less than primary, primary and lower secondary education (levels 0-2)",11.6,"
Information Technologies","Doctor","F",1089
"2008","Male","Y20-24","ED5-8","B-N","FR",2018,63.2,10.9,"Business economy","France","Tertiary education (levels 5-8)",10.8,"Management and administration","Master","F",35912
"2028","Male","Y20-24","ED0-2","Q","AT",2014,52.3,27.9,"Human health and social work activities","Austria","Less than primary, primary and lower secondary education (levels 0-2)",23,"Engineering and construction","Master","F",4286
"2043","Female","Y20-24","ED0-2","D","FR",2016,28.5,10.5,"Electricity, gas, steam and air conditioning supply","France","Less than primary, primary and lower secondary education (levels 0-2)",0.9,"Engineering and construction","Doctor","F",2319
"2061","Female","Y20-24","ED3_4GEN","D","DK",2017,67.4,57.8,"Electricity, gas, steam and air conditioning supply","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",18,"Engineering and construction","Bachelor","F",4849
"2075","Female","Y15-64","ED0-2","B","PL",2016,16.4,14,"Mining and quarrying","Poland","Less than primary, primary and lower secondary education (levels 0-2)",5.7,"
Mathematics","Master","M",1196
"2076","Female","Y20-24","ED5-8","E","DE",2020,71.5,7.4,"Water supply; sewerage, waste management and remediation activities","Germany","Tertiary education (levels 5-8)",6.6,"Engineering and construction","Doctor","F",5783
"2080","Male","Y20-24","ED0-2","R","EL",2018,42.6,21.7,"Arts, entertainment and recreation","Greece","Less than primary, primary and lower secondary education (levels 0-2)",10.2,"Biological science","Master","M",238
